Year,SUMLEV,REGION,DIVISION,STATE,NAME,SEX,AGE,POPEST2010_CIV,POPEST2011_CIV,POPEST2012_CIV,POPEST2013_CIV,POPEST2014_CIV
2010,10,0,0,0,United States,2,21,2135109,,,,
2010,10,0,0,0,United States,2,22,2086543,,,,
2010,10,0,0,0,United States,2,23,2054180,,,,
2010,10,0,0,0,United States,2,24,2070768,,,,
2010,10,0,0,0,United States,2,25,2101542,,,,
2010,10,0,0,0,United States,2,26,2048288,,,,
2010,10,0,0,0,United States,2,27,2092258,,,,
2010,10,0,0,0,United States,2,28,2103905,,,,
2010,10,0,0,0,United States,2,29,2090330,,,,
2010,10,0,0,0,United States,2,30,2129902,,,,
2010,10,0,0,0,United States,2,31,2009887,,,,
2010,10,0,0,0,United States,2,32,1976013,,,,
2010,10,0,0,0,United States,2,33,1964735,,,,
2010,10,0,0,0,United States,2,34,1908968,,,,
2010,10,0,0,0,United States,2,35,1969248,,,,
2010,10,0,0,0,United States,2,36,1918708,,,,
2010,10,0,0,0,United States,2,37,1958216,,,,
2010,10,0,0,0,United States,2,38,2048188,,,,
2010,10,0,0,0,United States,2,39,2171769,,,,
2010,10,0,0,0,United States,2,40,2194522,,,,
2010,10,0,0,0,United States,2,41,2086586,,,,
2010,10,0,0,0,United States,2,42,2048246,,,,
2010,10,0,0,0,United States,2,43,2060509,,,,
2010,10,0,0,0,United States,2,44,2101841,,,,
2010,10,0,0,0,United States,2,45,2234728,,,,
2010,10,0,0,0,United States,2,46,2289318,,,,
2010,10,0,0,0,United States,2,47,2296082,,,,
2010,10,0,0,0,United States,2,48,2298216,,,,
2010,10,0,0,0,United States,2,49,2335704,,,,
2010,10,0,0,0,United States,2,50,2354563,,,,
2010,10,0,0,0,United States,2,51,2288563,,,,
2010,10,0,0,0,United States,2,52,2282922,,,,
2010,10,0,0,0,United States,2,53,2268045,,,,
2010,10,0,0,0,United States,2,54,2196466,,,,
2010,10,0,0,0,United States,2,55,2183473,,,,
2010,10,0,0,0,United States,2,56,2108454,,,,
2010,10,0,0,0,United States,2,57,2036344,,,,
2010,10,0,0,0,United States,2,58,1963628,,,,
2010,10,0,0,0,United States,2,59,1914689,,,,
2010,10,0,0,0,United States,2,60,1874452,,,,
2010,10,0,0,0,United States,2,61,1828674,,,,
2010,10,0,0,0,United States,2,62,1815988,,,,
2010,10,0,0,0,United States,2,63,1898248,,,,
2010,10,0,0,0,United States,2,64,1414211,,,,
2010,10,0,0,0,United States,2,65,1405839,,,,
2010,10,0,0,0,United States,2,66,1381541,,,,
2010,10,0,0,0,United States,2,67,1423561,,,,
2010,10,0,0,0,United States,2,68,1254117,,,,
2010,10,0,0,0,United States,2,69,1161047,,,,
2010,10,0,0,0,United States,2,70,1108505,,,,
2010,10,0,0,0,United States,2,71,1050351,,,,
2010,10,0,0,0,United States,2,72,1021293,,,,
2010,10,0,0,0,United States,2,73,955663,,,,
2010,10,0,0,0,United States,2,74,927168,,,,
2010,10,0,0,0,United States,2,75,906215,,,,
2010,10,0,0,0,United States,2,76,828132,,,,
2010,10,0,0,0,United States,2,77,818306,,,,
2010,10,0,0,0,United States,2,78,799410,,,,
2010,10,0,0,0,United States,2,79,781029,,,,
2010,10,0,0,0,United States,2,80,770510,,,,
2010,10,0,0,0,United States,2,81,716534,,,,
2010,10,0,0,0,United States,2,82,695545,,,,
2010,10,0,0,0,United States,2,83,658442,,,,
2010,10,0,0,0,United States,2,84,611339,,,,
2010,10,0,0,0,United States,2,85,3732799,,,,
2010,10,0,0,0,United States,2,999,157069187,,,,
2010,40,3,6,1,Alabama,0,0,60026,,,,
2010,40,3,6,1,Alabama,0,1,59774,,,,
2010,40,3,6,1,Alabama,0,2,62057,,,,
2010,40,3,6,1,Alabama,0,3,62088,,,,
2010,40,3,6,1,Alabama,0,4,61091,,,,
2010,40,3,6,1,Alabama,0,5,60656,,,,
2010,40,3,6,1,Alabama,0,6,60740,,,,
2010,40,3,6,1,Alabama,0,7,60613,,,,
2010,40,3,6,1,Alabama,0,8,61070,,,,
2010,40,3,6,1,Alabama,0,9,64204,,,,
2010,40,3,6,1,Alabama,0,10,65318,,,,
2010,40,3,6,1,Alabama,0,11,63837,,,,
2010,40,3,6,1,Alabama,0,12,64159,,,,
2010,40,3,6,1,Alabama,0,13,63469,,,,
2010,40,3,6,1,Alabama,0,14,63334,,,,
2010,40,3,6,1,Alabama,0,15,64677,,,,
2010,40,3,6,1,Alabama,0,16,66413,,,,
2010,40,3,6,1,Alabama,0,17,67404,,,,
2010,40,3,6,1,Alabama,0,18,69329,,,,
2010,40,3,6,1,Alabama,0,19,72220,,,,
2010,40,3,6,1,Alabama,0,20,72732,,,,
2010,40,3,6,1,Alabama,0,21,68835,,,,
2010,40,3,6,1,Alabama,0,22,66065,,,,
