STATE,Year,Population ,NAME,AGE,,,set_id,year,pieces,t1,descr
2,2010,10305,Alaska,15,,,,,,,
2,2010,10548,Alaska,16,,,,,,,
2,2010,10759,Alaska,17,,,,,,,
2,2010,10282,Alaska,18,,,,,,,
2,2010,9406,Alaska,19,,,,,,,
2,2010,9647,Alaska,20,,,,,,,
2,2010,9375,Alaska,21,,,,,,,
2,2010,9431,Alaska,22,,,,,,,
2,2010,9537,Alaska,23,,,,,,,
2,2010,10137,Alaska,24,,,,,,,
2,2010,10431,Alaska,25,,,,,,,
2,2010,10092,Alaska,26,,,,,,,
2,2010,10284,Alaska,27,,,,,,,
2,2010,9990,Alaska,28,,,,,,,
2,2010,9709,Alaska,29,,,,,,,
2,2010,9957,Alaska,30,,,,,,,
2,2010,9011,Alaska,31,,,,,,,
2,2010,8831,Alaska,32,,,,,,,
2,2010,8630,Alaska,33,,,,,,,
2,2010,8244,Alaska,34,,,,,,,
2,2010,8738,Alaska,35,,,,,,,
2,2010,8245,Alaska,36,,,,,,,
2,2010,8274,Alaska,37,,,,,,,
2,2010,8619,Alaska,38,,,,,,,
2,2010,9239,Alaska,39,,,,,,,
2,2010,9622,Alaska,40,,,,,,,
2,2010,8963,Alaska,41,,,,,,,
2,2010,8772,Alaska,42,,,,,,,
2,2010,8949,Alaska,43,,,,,,,
2,2010,9258,Alaska,44,,,,,,,
2,2010,10209,Alaska,45,,,,,,,
2,2010,10499,Alaska,46,,,,,,,
2,2010,10841,Alaska,47,,,,,,,
2,2010,10976,Alaska,48,,,,,,,
2,2010,11220,Alaska,49,,,,,,,
2,2010,11686,Alaska,50,,,,,,,
2,2010,11115,Alaska,51,,,,,,,
2,2010,11259,Alaska,52,,,,,,,
2,2010,11287,Alaska,53,,,,,,,
2,2010,10788,Alaska,54,,,,,,,
2,2010,11211,Alaska,55,,,,,,,
2,2010,10524,Alaska,56,,,,,,,
2,2010,10077,Alaska,57,,,,,,,
2,2010,9545,Alaska,58,,,,,,,
2,2010,8861,Alaska,59,,,,,,,
2,2010,8633,Alaska,60,,,,,,,
2,2010,7948,Alaska,61,,,,,,,
2,2010,7303,Alaska,62,,,,,,,
2,2010,7255,Alaska,63,,,,,,,
2,2010,5330,Alaska,64,,,,,,,
2,2010,5199,Alaska,65,,,,,,,
2,2010,4894,Alaska,66,,,,,,,
2,2010,4674,Alaska,67,,,,,,,
2,2010,4026,Alaska,68,,,,,,,
2,2010,3636,Alaska,69,,,,,,,
2,2010,3239,Alaska,70,,,,,,,
2,2010,2802,Alaska,71,,,,,,,
2,2010,2678,Alaska,72,,,,,,,
2,2010,2397,Alaska,73,,,,,,,
2,2010,2229,Alaska,74,,,,,,,
2,2010,2099,Alaska,75,,,,,,,
2,2010,1875,Alaska,76,,,,,,,
2,2010,1774,Alaska,77,,,,,,,
2,2010,1608,Alaska,78,,,,,,,
2,2010,1549,Alaska,79,,,,,,,
2,2010,1527,Alaska,80,,,,,,,
2,2010,1313,Alaska,81,,,,,,,
2,2010,1207,Alaska,82,,,,,,,
2,2010,1060,Alaska,83,,,,,,,
2,2010,933,Alaska,84,,,,,,,
2,2010,4768,Alaska,85,,,,,,,
2,2010,691620,Alaska,999,,,,,,,
2,2010,5575,Alaska,0,,,,,,,
2,2010,5665,Alaska,1,,,,,,,
2,2010,5719,Alaska,2,,,,,,,
2,2010,5531,Alaska,3,,,,,,,
2,2010,5477,Alaska,4,,,,,,,
2,2010,5249,Alaska,5,,,,,,,
2,2010,5249,Alaska,6,,,,,,,
2,2010,5200,Alaska,7,,,,,,,
2,2010,5190,Alaska,8,,,,,,,
2,2010,5237,Alaska,9,,,,,,,
2,2010,5475,Alaska,10,,,,,,,
2,2010,5234,Alaska,11,,,,,,,
2,2010,5105,Alaska,12,,,,,,,
2,2010,5170,Alaska,13,,,,,,,
2,2010,5194,Alaska,14,,,,,,,
2,2010,5258,Alaska,15,,,,,,,
2,2010,5405,Alaska,16,,,,,,,
2,2010,5610,Alaska,17,,,,,,,
2,2010,5386,Alaska,18,,,,,,,
2,2010,4917,Alaska,19,,,,,,,
2,2010,4967,Alaska,20,,,,,,,
2,2010,4734,Alaska,21,,,,,,,
2,2010,4624,Alaska,22,,,,,,,
2,2010,4710,Alaska,23,,,,,,,
2,2010,5066,Alaska,24,,,,,,,
2,2010,5121,Alaska,25,,,,,,,
2,2010,4967,Alaska,26,,,,,,,
2,2010,5053,Alaska,27,,,,,,,
2,2010,4977,Alaska,28,,,,,,,
2,2010,4764,Alaska,29,,,,,,,
2,2010,4969,Alaska,30,,,,,,,
2,2010,4495,Alaska,31,,,,,,,
2,2010,4355,Alaska,32,,,,,,,
2,2010,4214,Alaska,33,,,,,,,
2,2010,4064,Alaska,34,,,,,,,
2,2010,4397,Alaska,35,,,,,,,
2,2010,4068,Alaska,36,,,,,,,
2,2010,4064,Alaska,37,,,,,,,
2,2010,4302,Alaska,38,,,,,,,
2,2010,4597,Alaska,39,,,,,,,
2,2010,4848,Alaska,40,,,,,,,
2,2010,4573,Alaska,41,,,,,,,
2,2010,4495,Alaska,42,,,,,,,
2,2010,4569,Alaska,43,,,,,,,
2,2010,4770,Alaska,44,,,,,,,
2,2010,5265,Alaska,45,,,,,,,
2,2010,5457,Alaska,46,,,,,,,
2,2010,5592,Alaska,47,,,,,,,
