Year,STATE,NAME,SEX,AGE,Population
2010,10,Delaware,2,3,5584
2010,11,District of Columbia,2,3,3115
2010,12,Florida,2,3,107365
2010,13,Georgia,2,3,68692
2010,15,Hawaii,2,3,8289
2010,16,Idaho,2,3,12021
2010,17,Illinois,2,3,83524
2010,18,Indiana,2,3,43508
2010,19,Iowa,2,3,20087
2010,20,Kansas,2,3,20251
2010,21,Kentucky,2,3,28182
2010,22,Louisiana,2,3,31597
2010,23,Maine,2,3,6978
2010,24,Maryland,2,3,36060
2010,25,Massachusetts,2,3,36551
2010,26,Michigan,2,3,59416
2010,27,Minnesota,2,3,35691
2010,28,Mississippi,2,3,21291
2010,29,Missouri,2,3,38862
2010,30,Montana,2,3,6227
2010,31,Nebraska,2,3,12923
2010,32,Nevada,2,3,18701
2010,33,New Hampshire,2,3,7108
2010,34,New Jersey,2,3,54260
2010,35,New Mexico,2,3,14334
2010,36,New York,2,3,113726
2010,37,North Carolina,2,3,62830
2010,38,North Dakota,2,3,4366
2010,39,Ohio,2,3,71799
2010,40,Oklahoma,2,3,26362
2010,41,Oregon,2,3,23692
2010,42,Pennsylvania,2,3,72426
2010,44,Rhode Island,2,3,5707
2010,45,South Carolina,2,3,30427
2010,46,South Dakota,2,3,5944
2010,47,Tennessee,2,3,40655
2010,48,Texas,2,3,191074
2010,49,Utah,2,3,25620
2010,50,Vermont,2,3,3269
2010,51,Virginia,2,3,50642
2010,53,Washington,2,3,43415
2010,54,West Virginia,2,3,10365
2010,55,Wisconsin,2,3,35831
2010,56,Wyoming,2,3,3994
2010,1,Alabama,1,4,31095
2010,2,Alaska,1,4,5477
2010,4,Arizona,1,4,46985
2010,5,Arkansas,1,4,20346
2010,6,California,1,4,260435
2010,8,Colorado,1,4,35870
2010,9,Connecticut,1,4,21721
2010,10,Delaware,1,4,5780
2010,11,District of Columbia,1,4,2977
2010,12,Florida,1,4,110818
2010,13,Georgia,1,4,71290
2010,15,Hawaii,1,4,8754
2010,16,Idaho,1,4,12619
2010,17,Illinois,1,4,86596
2010,18,Indiana,1,4,45135
2010,19,Iowa,1,4,21001
2010,20,Kansas,1,4,20895
2010,21,Kentucky,1,4,29229
2010,22,Louisiana,1,4,31931
2010,23,Maine,1,4,7480
2010,24,Maryland,1,4,37301
2010,25,Massachusetts,1,4,38030
2010,26,Michigan,1,4,62629
2010,27,Minnesota,1,4,36621
2010,28,Mississippi,1,4,21433
2010,29,Missouri,1,4,40415
2010,30,Montana,1,4,6473
2010,31,Nebraska,1,4,13505
2010,32,Nevada,1,4,19178
2010,33,New Hampshire,1,4,7507
2010,34,New Jersey,1,4,56562
2010,35,New Mexico,1,4,14872
2010,36,New York,1,4,117731
2010,37,North Carolina,1,4,65093
2010,38,North Dakota,1,4,4492
2010,39,Ohio,1,4,75016
2010,40,Oklahoma,1,4,26983
2010,41,Oregon,1,4,24563
2010,42,Pennsylvania,1,4,76056
2010,44,Rhode Island,1,4,6081
2010,45,South Carolina,1,4,30744
2010,46,South Dakota,1,4,6069
2010,47,Tennessee,1,4,42121
2010,48,Texas,1,4,198335
2010,49,Utah,1,4,26821
2010,50,Vermont,1,4,3342
2010,51,Virginia,1,4,52696
2010,53,Washington,1,4,44814
2010,54,West Virginia,1,4,10829
2010,55,Wisconsin,1,4,37434
2010,56,Wyoming,1,4,4132
2010,1,Alabama,2,4,29996
2010,2,Alaska,2,4,5108
2010,4,Arizona,2,4,44928
2010,5,Arkansas,2,4,19633
2010,6,California,2,4,249067
2010,8,Colorado,2,4,34175
2010,9,Connecticut,2,4,20674
2010,10,Delaware,2,4,5618
2010,11,District of Columbia,2,4,2922
2010,12,Florida,2,4,106394
2010,13,Georgia,2,4,68241
2010,15,Hawaii,2,4,8167
2010,16,Idaho,2,4,11917
2010,17,Illinois,2,4,83052
2010,18,Indiana,2,4,42920
2010,19,Iowa,2,4,19956
2010,20,Kansas,2,4,20229
2010,21,Kentucky,2,4,27755
2010,22,Louisiana,2,4,30533
2010,23,Maine,2,4,7007
2010,24,Maryland,2,4,35845
2010,25,Massachusetts,2,4,36692
2010,26,Michigan,2,4,59802
2010,27,Minnesota,2,4,35159
2010,28,Mississippi,2,4,20740
2010,29,Missouri,2,4,38609
2010,30,Montana,2,4,5996
2010,31,Nebraska,2,4,12890
2010,32,Nevada,2,4,18270
2010,33,New Hampshire,2,4,7199
2010,34,New Jersey,2,4,53982
2010,35,New Mexico,2,4,14313
2010,36,New York,2,4,112485
2010,37,North Carolina,2,4,62486
2010,38,North Dakota,2,4,4258
2010,39,Ohio,2,4,72078
2010,40,Oklahoma,2,4,25832
2010,41,Oregon,2,4,23280
2010,42,Pennsylvania,2,4,72347
2010,44,Rhode Island,2,4,5824
2010,45,South Carolina,2,4,29547
2010,46,South Dakota,2,4,5822
2010,47,Tennessee,2,4,40400
2010,48,Texas,2,4,190157
2010,49,Utah,2,4,25275
2010,50,Vermont,2,4,3249
2010,51,Virginia,2,4,50333
2010,53,Washington,2,4,42474
2010,54,West Virginia,2,4,10184
2010,55,Wisconsin,2,4,35563
2010,56,Wyoming,2,4,3857
2010,1,Alabama,1,5,30926
2010,2,Alaska,1,5,5249
2010,4,Arizona,1,5,46527
2010,5,Arkansas,1,5,20238
2010,6,California,1,5,258766
2010,8,Colorado,1,5,35764
2010,9,Connecticut,1,5,22055
2010,10,Delaware,1,5,5705
2010,11,District of Columbia,1,5,2807
2010,12,Florida,1,5,110347
2010,13,Georgia,1,5,70784
2010,15,Hawaii,1,5,8711
2010,16,Idaho,1,5,12548
2010,17,Illinois,1,5,87074
2010,18,Indiana,1,5,45205
2010,19,Iowa,1,5,20657
2010,20,Kansas,1,5,20848
2010,21,Kentucky,1,5,28942
2010,22,Louisiana,1,5,31458
2010,23,Maine,1,5,7538
2010,24,Maryland,1,5,37016
2010,25,Massachusetts,1,5,38444
2010,26,Michigan,1,5,63419
2010,27,Minnesota,1,5,36563
2010,28,Mississippi,1,5,21178
2010,29,Missouri,1,5,40086
2010,30,Montana,1,5,6277
2010,31,Nebraska,1,5,13440
2010,32,Nevada,1,5,18639
2010,33,New Hampshire,1,5,7598
2010,34,New Jersey,1,5,56962
2010,35,New Mexico,1,5,14772
2010,36,New York,1,5,117979
2010,37,North Carolina,1,5,64404
2010,38,North Dakota,1,5,4420
2010,39,Ohio,1,5,74778
2010,40,Oklahoma,1,5,26906
2010,41,Oregon,1,5,24268
2010,42,Pennsylvania,1,5,75859
2010,44,Rhode Island,1,5,6156
2010,45,South Carolina,1,5,30260
2010,46,South Dakota,1,5,5987
2010,47,Tennessee,1,5,41656
2010,48,Texas,1,5,198373
2010,49,Utah,1,5,26453
2010,50,Vermont,1,5,3471
2010,51,Virginia,1,5,52385
2010,53,Washington,1,5,44475
2010,54,West Virginia,1,5,10874
2010,55,Wisconsin,1,5,37344
2010,56,Wyoming,1,5,3982
2010,1,Alabama,2,5,29730
2010,2,Alaska,2,5,5042
2010,4,Arizona,2,5,44625
2010,5,Arkansas,2,5,19390
2010,6,California,2,5,247523
2010,8,Colorado,2,5,34345
2010,9,Connecticut,2,5,21126
2010,10,Delaware,2,5,5605
2010,11,District of Columbia,2,5,2762
2010,12,Florida,2,5,105334
2010,13,Georgia,2,5,67889
2010,15,Hawaii,2,5,8191
2010,16,Idaho,2,5,12018
2010,17,Illinois,2,5,83164
